(2026-02-10 16:06:10,840) | excel_cleaning_pipeline | INFO => 'Application environment initialized.'
(2026-02-10 16:06:10,841) | excel_cleaning_pipeline | INFO => 'Pipeline started'
(2026-02-10 16:06:10,842) | excel_cleaning_pipeline | INFO => 'Schema loaded. Required columns: ['id', 'email', 'date', 'amount', 'status', 'notes', 'source_file', 'processed_at'],Aliases: ['order_id', 'customer_email', 'order_date', 'load_time']'
(2026-02-10 16:06:10,845) | excel_cleaning_pipeline | INFO => 'Rules loaded for columns: ['id', 'email', 'amount', 'date', 'status']'
(2026-02-10 16:06:10,848) | excel_cleaning_pipeline | WARNING => 'No Excel files found in input directory.'
(2026-02-10 16:06:10,849) | excel_cleaning_pipeline | INFO => 'Discovered 0 file(s) to process.'
(2026-02-10 16:06:10,887) | excel_cleaning_pipeline | CRITICAL => 'No files were successfully loaded.'
(2026-02-10 16:06:10,888) | excel_cleaning_pipeline | WARNING => 'Cleaned DataFrame is empty - nothing written '
(2026-02-10 16:06:10,888) | excel_cleaning_pipeline | INFO => 'Rejected DataFrame is empty - nothing written'
(2026-02-10 16:06:10,889) | excel_cleaning_pipeline | WARNING => 'No data available for report generation'
(2026-02-10 16:06:14,191) | excel_cleaning_pipeline | INFO => 'Email sent successfully'
(2026-02-10 16:06:14,194) | excel_cleaning_pipeline | INFO => 'Pipeline finished successfully'
(2026-02-10 16:08:13,715) | excel_cleaning_pipeline | INFO => 'Application environment initialized.'
(2026-02-10 16:08:13,715) | excel_cleaning_pipeline | INFO => 'Pipeline started'
(2026-02-10 16:08:13,716) | excel_cleaning_pipeline | INFO => 'Schema loaded. Required columns: ['id', 'email', 'date', 'amount', 'status', 'notes', 'source_file', 'processed_at'],Aliases: ['order_id', 'customer_email', 'order_date', 'load_time']'
(2026-02-10 16:08:13,720) | excel_cleaning_pipeline | INFO => 'Rules loaded for columns: ['id', 'email', 'amount', 'date', 'status']'
(2026-02-10 16:08:13,723) | excel_cleaning_pipeline | WARNING => 'No Excel files found in input directory.'
(2026-02-10 16:08:13,723) | excel_cleaning_pipeline | INFO => 'Discovered 0 file(s) to process.'
(2026-02-10 16:08:13,724) | excel_cleaning_pipeline | CRITICAL => 'No files were successfully loaded.'
(2026-02-10 16:08:13,726) | excel_cleaning_pipeline | WARNING => 'Cleaned DataFrame is empty - nothing written '
(2026-02-10 16:08:13,727) | excel_cleaning_pipeline | INFO => 'Rejected DataFrame is empty - nothing written'
(2026-02-10 16:08:13,727) | excel_cleaning_pipeline | WARNING => 'No data available for report generation'
(2026-02-10 16:08:15,949) | excel_cleaning_pipeline | INFO => 'Email sent successfully'
(2026-02-10 16:08:15,950) | excel_cleaning_pipeline | INFO => 'Pipeline finished successfully'
(2026-02-10 16:10:44,657) | excel_cleaning_pipeline | INFO => 'Application environment initialized.'
(2026-02-10 16:10:44,658) | excel_cleaning_pipeline | INFO => 'Pipeline started'
(2026-02-10 16:10:44,659) | excel_cleaning_pipeline | INFO => 'Schema loaded. Required columns: ['id', 'email', 'date', 'amount', 'status', 'notes', 'source_file', 'processed_at'],Aliases: ['order_id', 'customer_email', 'order_date', 'load_time']'
(2026-02-10 16:10:44,662) | excel_cleaning_pipeline | INFO => 'Rules loaded for columns: ['id', 'email', 'amount', 'date', 'status']'
(2026-02-10 16:10:44,663) | excel_cleaning_pipeline | WARNING => 'No Excel files found in input directory.'
(2026-02-10 16:10:44,664) | excel_cleaning_pipeline | INFO => 'Discovered 0 file(s) to process.'
